feature_0,feature_3,feature_10,feature_40,feature_68,feature_70,feature_86,feature_89,feature_95,feature_100,feature_113,feature_123,feature_143,feature_150,feature_168,feature_187,feature_213,feature_242,feature_244,feature_251,feature_252,feature_268,feature_289,feature_291,feature_294,feature_296,feature_300,feature_323,feature_332,feature_335,feature_377,feature_428,feature_437,feature_438,feature_469
0,0,1,3,34,18,3,0,5,2,0,0,0,6,0,1,0,9,22,5,23,0,3,0,45,63,15,14,16,0,1,28,15,0,4
0,0,1,11,826,37,427,2,7,2,0,1,0,7,0,1,0,25,21,4,38,0,3,0,78,92,17,4,206,728,361,37,17,0,2
0,8,89,1097,2545,1043,270,3,4692,2,0,2,0,10,0,3,0,190,49,2409,179,0,15,9,511,506,402,1161,446,212,3,196,1873,1,69
1,0,1,23,5453,60,55,2,10,2,0,0,1,10,0,4,0,61,38,10,73,0,7,0,132,185,60,40,266,51,1,230,22,0,21
9,7,6,63,875,96,130,16,37,2,0,11,7,10,0,8,1,102,52,40,122,0,25,9,184,325,113,54,130,127,10,200,74,0,40
1,2,2,7,70,43,23,2,6,2,0,0,1,7,0,1,0,28,29,5,42,0,3,2,94,90,33,13,26,8,1,91,20,0,4
6,3,3,11,477,65,42,7,10,2,1,2,2,12,0,2,2,58,56,174,67,0,7,3,114,206,49,18,52,34,3,113,27,0,23
0,0,1,14,2985,50,54,4,6,2,0,0,0,14,0,1,0,64,61,8,76,0,3,0,619,142,544,21,102,32,1,97,24,0,18
0,2,2,5,136,35,25,0,9,2,0,0,0,7,0,1,0,33,29,5,47,0,3,2,90,98,30,21,25,12,1,88,19,0,14
8,7,7,65,1536,81,535,11,30,2,0,7,5,9,0,6,1,96,66,32,104,0,29,9,154,253,86,37,250,807,366,163,63,0,70
0,0,1,7,82,19,3,1,5,2,0,0,0,6,0,1,0,10,18,4,23,0,3,0,55,44,25,21,17,0,1,58,16,0,9
2,4,4,38,265,98,9,13,27,2,0,2,1,9,0,3,1,30,53,32,35,0,13,4,106,171,67,23,297,14,11,69,43,0,17
4,0,1,47,434,63,64,11,16,2,0,5,4,9,0,6,0,79,44,32,101,0,13,0,159,186,89,44,52,45,3,156,49,0,17
3,0,1,12,77,33,7,5,11,2,0,0,1,6,0,2,1,22,21,22,29,0,3,0,53,125,17,1,31,1,2,5,20,0,2
9,9,28,104,10904,197,1816,17,316,2,2,3,2,13,0,9,1,936,90,537,944,0,32,10,314,410,146,44,817,257,5,103,132,4,67
4,5,6,68,415,204,39,19,43,2,0,8,3,9,0,4,1,54,53,48,66,0,23,7,239,274,125,43,95,25,12,170,63,0,45
2,4,4,29,2620,60,34,7,19,2,0,1,1,10,0,2,1,54,53,19,53,0,12,4,108,186,44,10,69,22,7,31,37,0,28
6,3,3,11,370,65,50,4,10,2,1,2,2,12,0,2,2,61,56,174,70,0,7,3,114,183,40,18,59,46,3,112,27,0,20
4,14,13,396,69955,199,477,94,26,2,0,21,1,10,0,17,2,367,252,1627,374,0,182,16,743,631,640,308,230,350,13,572,290,0,171
0,0,1,3,164,18,9,1,5,2,0,0,0,6,0,1,0,14,22,7,31,0,3,0,85,166,55,49,19,0,1,125,27,0,8
2,5,4,43,542,60,76,6,87,2,0,2,1,9,0,4,1,62,43,35,62,0,17,5,156,245,49,20,79,16,8,95,42,0,28
9,7,6,63,762,96,98,17,37,2,0,11,7,10,0,8,1,94,54,40,114,0,25,9,187,323,116,54,109,86,10,201,74,0,41
7,4,3,58,20869,658,3620,9,108,2,0,1,5,26,0,6,0,2956,104,356,2929,0,21,4,266,317,98,27,1580,139,7,161,71,0,46
2,11,64,466,14516,413,92,16,1698,2,0,4,2,8,0,3,0,123,103,1742,129,0,11,14,1166,283,1087,1517,591,56,5,3782,616,1,329
2,11,25,186,45632,1945,5027,14,262,2,0,6,1,13,0,6,1,3583,86,783,3563,0,122,13,2860,386,2683,38,7219,11469,149,335,119,0,196
1,0,1,19,1170,54,235,8,11,2,0,2,1,7,0,1,0,214,76,7,222,0,3,0,145,194,78,43,61,127,1,143,37,0,15
5,10,16,103,727,119,159,12,118,2,0,7,2,9,0,12,3,147,95,114,158,0,58,12,181,263,111,60,99,96,9,219,74,1,41
4,7,9,77,605,206,88,14,160,6,0,4,4,10,0,10,0,93,67,110,117,0,39,9,478,838,178,59,479,78,3,318,125,3,53
1,11,12,107,10557,970,1877,8,379,4,0,5,1,14,0,11,0,830,92,526,810,0,32,14,427,703,151,71,2403,907,1,229,160,2,89
6,0,1,41,155,33,3,7,15,2,0,1,4,7,0,6,1,19,35,17,26,0,9,0,69,142,33,11,32,2,3,39,31,0,14
191,11,6,40,2328,228,1828,10,68,5,0,0,190,207,0,193,0,132,106,1063,149,0,17,18,357,874,112,19,475,48,1,47,67,2,103
2,5,4,36,510,89,94,12,64,2,0,9,2,12,0,3,0,100,74,88,106,0,16,5,143,257,62,14,116,64,13,263,48,0,45
3,5,11,58,1123,236,209,10,135,2,0,5,2,9,0,3,1,157,98,285,164,0,13,7,230,274,96,59,106,292,7,261,89,3,39
3,7,7,53,1105,66,497,7,28,2,0,5,1,8,0,7,1,60,42,30,68,0,29,9,114,202,45,8,225,748,365,57,47,0,65
8,0,1,41,167,32,6,7,12,2,0,6,5,9,0,7,1,23,31,11,30,0,10,0,76,147,37,15,42,1,2,35,35,0,40
7,4,14,108,3489,1066,433,21,48,2,1,6,2,10,0,21,0,382,129,51,430,0,35,13,628,834,368,168,524,646,5,844,273,9,75
7,6,128,1584,2335,1484,281,5,6795,2,1,2,2,9,0,1,2,215,62,3437,213,0,4,6,613,470,549,1648,513,365,1,127,2732,1,82
1,2,2,7,71,43,24,2,6,2,0,0,1,7,0,1,0,27,26,5,41,0,3,2,91,89,33,13,27,8,1,91,20,0,3
6,3,3,11,426,65,53,4,10,2,1,2,2,12,0,2,2,64,56,174,73,0,7,3,114,192,40,18,59,58,3,93,27,0,22
7,4,11,182,2831,437,195,29,249,18,0,5,5,20,0,3,1,222,182,431,248,0,112,8,997,1565,421,158,529,167,20,1046,211,4,200
63,23,98,601,284494,2781,100799,51,1420,10,0,7,38,194,0,42,13,53621,171,158820,53634,0,336,31,1049,1695,456,319,51281,2344,27,646,496,4,599
5,10,6,47,11078,862,2057,3,222,2,0,3,4,11,0,6,1,779,48,841,759,0,27,15,250,336,83,11,2294,29,3,48,63,0,86
8,4,3,64,19495,714,3419,9,112,2,0,1,6,28,0,7,0,2704,107,368,2677,0,21,4,269,327,98,27,1731,145,9,155,77,0,43
2,10,26,149,5722,349,1103,6,613,2,0,2,2,28,0,5,0,734,194,428,718,0,30,12,421,523,223,306,316,1273,3,391,330,2,279
5,6,11,107,3183,201,535,19,339,2,0,12,2,14,0,4,1,412,176,311,424,0,20,6,339,399,217,174,264,480,23,575,175,1,77
18,9,64,207,11925,954,2113,17,1187,2,5,6,5,15,0,9,3,569,62,1571,540,0,35,9,370,510,206,240,2337,128,11,323,287,3,162
0,0,1,5,15,18,3,1,5,2,0,0,0,4,0,1,0,9,16,3,19,0,3,0,35,40,5,1,16,0,1,1,12,0,6
8,4,3,64,20877,673,3644,9,112,2,0,1,6,27,0,7,0,2935,106,367,2908,0,21,4,269,353,98,27,1650,151,9,153,77,0,44
5,5,14,39,764,95,100,10,176,2,0,3,5,10,0,3,0,133,79,94,117,0,7,5,160,238,75,60,66,127,4,164,73,1,66
36,5,17,136,13176,370,1736,23,542,2,0,9,9,7,0,20,9,1408,276,517,1376,0,5,5,434,739,350,651,677,2556,20,911,227,1,123
0,0,1,3,163,18,8,1,5,2,0,0,0,6,0,1,0,14,22,7,31,0,3,0,85,166,55,49,18,0,1,125,27,0,8
4,6,4,35,465,60,43,11,28,2,0,3,1,9,0,2,1,59,46,41,68,0,14,6,175,244,102,58,47,23,9,201,40,0,24
11,14,17,188,40000,235,8152,28,238,4,0,4,4,14,0,17,5,4942,102,690,4951,0,91,27,430,627,187,58,1964,11268,12,125,180,2,1679
6,7,7,72,3485,120,658,12,36,2,2,6,2,16,0,6,1,467,110,1534,474,0,33,9,222,475,153,72,874,353,5,316,302,0,915
0,0,1,3,19,18,3,0,5,2,0,0,0,6,0,1,0,9,15,4,22,0,3,0,48,54,18,17,16,0,1,40,15,0,4
6,3,3,11,2153,65,50,4,10,2,1,2,2,12,0,2,2,64,57,174,73,0,7,3,114,617,40,18,60,62,3,137,27,0,26
3,7,21,68,78656,278,11443,3,388,2,1,1,1,9,0,4,0,8063,47,3068,8045,0,17,7,282,311,132,50,2542,1672,1,149,97,1,104
9,10,10,88,28260,761,4620,17,252,2,2,12,5,18,0,11,2,3699,127,448,3673,0,43,12,352,426,187,70,2133,1247,9,222,90,0,126
2,6,4,45,355,71,43,12,28,2,0,1,1,12,0,3,1,50,45,30,56,0,14,7,170,204,101,46,42,30,9,213,65,0,17
6947,5,3,38,90683,1427,3616,6,186,2,0,1,6946,6958,0,6947,0,2816,64,38970,2800,0,18,5,238,480,84,27,3185,84,1,152,43,0,276
6,3,3,11,1076,65,42,4,10,2,1,2,2,12,0,2,2,60,60,174,69,0,7,3,120,359,40,18,52,34,3,129,27,0,24
2,3,3,17,129,80,5,8,12,2,0,3,1,10,0,4,1,26,43,15,33,0,5,3,68,145,35,10,278,7,4,29,28,0,15
6050,13,59,189,161197,2207,9743,35,737,2,3,4,6039,6077,0,6083,4,4510,105,35483,4451,0,94,15,542,498,347,62,6507,4318,6,287,209,1,317
3,10,6,47,11098,764,2032,3,222,2,0,3,2,11,0,6,1,840,48,839,821,0,27,15,248,338,82,11,2038,30,3,48,63,0,86
2,10,73,90,54006,1464,10940,8,759,2,0,6,1,13,0,5,1,2518,102,4243,2465,0,41,12,511,488,312,86,7143,1469,375,662,130,0,125
4,5,4,65,652,77,61,18,43,2,0,10,3,9,0,4,1,74,57,52,80,0,21,5,200,258,121,52,57,73,14,237,65,0,49
2,4,21,178,15108,1142,2768,11,301,2,0,6,1,24,0,5,1,1235,114,954,1201,0,125,6,403,457,176,51,2694,181,20,323,109,0,70
6,6,5,80,6265,608,1143,15,128,2,0,8,3,22,0,6,1,543,97,351,524,0,31,6,274,314,117,19,1419,92,15,117,79,0,72
19,11,40,266,904,545,154,34,640,14,0,7,10,14,0,18,6,130,99,419,155,0,137,19,1001,1493,348,110,621,98,6,141,357,6,223
4,5,4,65,634,77,61,18,43,2,0,10,3,9,0,4,1,73,57,52,79,0,21,5,201,269,122,53,58,69,14,240,65,0,48
4629,18,86,307,80013,1675,6206,48,682,12,11,34,4603,4816,0,4611,5,4699,380,27292,4868,0,147,26,1333,2293,676,263,3259,1003,13,1134,644,5,438
0,5,3,11,932,66,192,2,10,2,0,0,0,12,0,1,0,149,52,7,155,0,4,6,154,198,83,52,73,198,1,260,57,0,20
10,5,3,25,1053,84,189,6,23,2,3,0,3,12,0,3,0,185,89,28,197,0,6,5,155,269,72,34,254,192,1,214,55,0,100
6,9,8,94,8205,105,2203,26,31,2,0,8,5,32,0,7,1,1385,74,935,1400,0,35,12,316,306,242,145,504,1778,8,579,85,0,555
10,8,7,108,75001,191,17857,30,258,2,3,2,2,25,0,16,2,15622,127,983,15600,0,29,8,448,516,279,64,1686,293,17,433,133,0,89
2,0,1,10,106,19,3,1,5,2,0,1,1,7,0,2,1,10,37,4,23,0,3,0,55,60,25,16,17,0,1,38,16,0,8
4,0,1,43,29138,88,13502,12,15,2,0,6,4,10,0,7,0,10112,63,444,10112,0,11,0,160,206,73,12,2353,401,3,64,42,0,29
6,3,3,11,1167,65,44,4,10,2,1,3,2,12,0,2,2,59,57,174,68,0,7,3,117,384,40,18,54,34,3,113,27,0,24
6,3,3,11,369,65,47,4,10,2,1,3,2,12,0,2,2,60,58,174,69,0,7,3,114,188,40,18,55,42,3,78,27,0,21
5,14,12,378,69570,187,465,95,26,2,0,21,2,10,0,17,2,361,254,1630,368,0,182,16,708,635,598,267,227,313,13,568,292,0,171
91,5,44,586,44678,980,3985,116,2954,2,0,30,55,15,0,28,36,3954,379,2382,4198,0,70,5,808,713,732,835,3477,13844,356,798,618,1,404
11,13,9,83,739,120,77,20,137,2,1,8,6,12,0,10,2,91,112,853,102,0,19,27,281,381,165,70,80,65,17,242,78,1,95
4,5,22,89,213,173,31,6,374,6,0,0,4,8,0,1,0,46,32,284,60,0,27,6,259,474,79,82,162,12,1,162,123,2,100
1,3,3,15,64555,92,4651,3,28,2,0,1,1,10,0,2,0,4659,96,19602,4656,0,6,3,194,809,107,79,89,260,1,415,56,0,68
4,4,8,46,4189,353,71,11,46,2,0,5,3,13,0,4,1,84,105,3321,96,0,13,8,272,325,92,13,151,36,11,73,67,4,70
2,0,2,10,73,89,15,1,11,4,0,2,2,8,0,1,0,25,23,12,34,0,17,2,76,136,14,2,205,0,1,1,17,1,19
5,6,9,44,7645,658,1500,12,213,2,0,3,2,14,0,5,1,470,91,574,454,0,14,6,314,375,160,85,1801,231,15,232,66,1,62
6,3,3,11,1183,65,42,4,10,2,1,3,2,12,0,2,2,58,55,174,67,0,7,3,114,388,40,18,52,34,3,104,27,0,23
1,3,5,11,418,175,50,2,13,2,0,3,1,8,0,2,0,60,49,15,70,0,4,5,192,210,82,52,60,25,1,216,31,2,18
22,8,100,163,36175,666,7197,24,1352,2,5,7,6,18,0,9,6,1447,141,5481,1433,0,41,8,567,428,409,208,3973,843,4,607,212,1,196
6,3,3,11,574,65,44,4,10,2,1,2,2,12,0,2,2,59,56,174,68,0,7,3,114,214,40,18,53,38,3,87,27,0,23
7,7,14,53,186,221,35,9,176,2,0,4,4,9,0,7,1,50,41,139,62,0,10,9,158,204,63,41,58,17,5,35,62,1,18
0,0,1,3,17,18,3,0,5,2,0,0,0,4,0,1,0,9,16,3,19,0,3,0,32,35,2,1,16,0,1,0,11,0,4
3,14,3,44,292,69,31,8,23,2,0,1,1,12,0,2,2,43,41,44,54,0,6,17,154,231,85,41,63,20,2,163,68,2,55
36,12,59,107,780,342,77,18,130,10,13,4,7,17,0,8,4,101,63,158,121,0,79,17,503,840,180,39,475,71,19,272,155,2,50
5,3,3,20,463,54,59,7,12,2,0,2,3,14,0,2,0,84,86,22,88,0,8,3,143,233,62,32,33,46,1,425,40,0,28
24,5,15,144,39286,1288,7112,35,553,2,0,2,23,23,0,7,1,5611,273,791,5560,0,16,5,611,649,403,265,3195,560,18,1037,233,1,152
6,3,3,11,1107,65,43,4,10,2,1,2,2,12,0,2,2,58,56,174,67,0,7,3,114,369,40,18,59,34,3,118,27,0,24
0,0,1,3,48,18,3,0,5,2,0,0,0,6,0,1,0,10,16,4,23,0,3,0,59,54,29,28,16,0,1,72,15,0,4
6,3,3,11,1012,65,45,4,10,2,1,2,2,12,0,2,2,59,58,174,68,0,7,3,114,334,40,18,54,35,3,113,27,0,25
0,0,1,3,27,18,3,0,5,2,0,0,0,4,0,1,0,9,26,3,19,0,3,0,32,40,2,1,16,0,1,0,11,0,4
20,8,120,1199,42200,2690,8265,41,4285,2,2,16,14,31,0,19,1,2635,242,4533,2637,0,43,12,701,1035,447,1515,5554,3300,21,990,1505,3,1140
3,7,6,27,5497,548,1038,5,89,2,0,3,2,11,0,4,1,438,45,328,408,0,16,7,213,313,66,22,1351,52,2,105,41,0,43
3,7,6,27,4857,548,907,5,89,2,0,3,2,11,0,4,1,368,45,328,338,0,16,7,213,311,66,22,1321,54,2,105,41,0,42
5,4,3,35,901,53,146,6,81,2,1,2,1,11,0,5,1,108,95,22,117,0,14,4,194,231,101,58,95,43,3,125,47,0,54
6,5,8,53,1359,357,107,8,31,2,0,6,5,11,0,4,1,112,102,145,131,0,13,9,337,394,152,81,139,153,24,269,60,4,48
6829,15,24,181,94247,2314,4178,35,625,8,0,1,6825,7187,0,6847,3,2870,106,39650,2861,0,97,20,939,1251,405,150,5164,72,1,99,227,4,308
11,15,66,323,90869,1139,14935,26,1353,2,0,10,7,17,0,12,4,12230,131,1779,12211,0,62,17,480,544,294,328,3983,4251,9,449,404,3,105
16,6,91,50,109795,697,28672,21,1077,2,3,7,5,15,0,3,3,20558,176,4210,20519,0,17,6,615,429,426,115,5602,3329,10,601,109,0,163
0,9,8,44,508,85,95,0,126,2,0,1,0,9,0,1,0,88,85,132,103,0,3,10,69,205,19,45,244,52,1,10,56,1,669
9,20,14,90,2393,4045,337,20,131,5,0,0,3,60,0,18,2,293,143,1638,283,0,92,32,527,841,221,63,4079,154,1,193,103,5,99
6,6,6,74,1200,249,179,21,127,2,0,12,5,15,0,6,1,129,72,114,137,0,28,8,296,413,138,48,168,61,14,276,65,0,50
8,9,18,139,114118,1676,18397,13,536,2,0,7,2,17,0,16,2,16981,107,4828,16963,0,22,9,310,462,146,145,4098,104,1,124,266,1,282
0,0,1,3,57,18,3,0,5,2,0,0,0,7,0,1,0,10,26,4,23,0,3,0,47,37,17,9,16,0,1,17,15,0,8
7,8,4,27,186,101,39,3,49,4,2,1,1,8,0,3,1,48,33,22,67,0,21,10,243,352,66,14,171,13,2,28,56,1,14
7,14,27,180,1047,165,130,14,434,2,0,10,4,10,0,8,2,112,73,302,119,0,34,23,177,272,106,151,77,110,7,124,179,3,123
2,5,6,59,23713,875,4467,10,211,2,0,4,1,16,0,5,1,2927,106,1107,2908,0,25,5,323,494,143,68,2387,880,361,217,92,0,71
2,7,7,56,6347,994,579,13,37,2,0,4,1,31,0,3,1,118,198,2013,110,0,29,9,280,173,202,132,471211,781,366,240,52,0,2591
8,7,7,65,1471,82,520,11,31,2,0,7,5,9,0,6,1,95,62,32,103,0,29,9,155,241,87,38,254,804,366,160,63,0,67
3,4,4,18,362,53,61,4,19,2,0,3,2,10,0,2,1,65,50,22,72,0,7,4,106,223,38,15,50,62,7,66,32,0,24
11,8,10,97,704,306,41,28,336,2,2,1,3,16,0,5,2,61,92,323,67,0,48,10,308,491,178,83,80,80,62,193,60,3,1097
0,0,1,11,877,37,478,2,7,2,0,1,0,7,0,1,0,24,20,4,37,0,3,0,75,91,17,4,206,728,361,33,17,0,2
4,3,7,21,1123,344,44,7,21,2,0,2,4,9,0,3,0,68,100,30,75,0,4,7,309,394,119,47,87,25,1,210,39,4,72
2,4,4,38,268,97,9,13,27,2,0,2,1,9,0,3,1,30,53,32,35,0,13,4,106,174,67,23,308,14,11,69,43,0,17
0,5,3,11,850,66,167,2,10,2,0,0,0,11,0,1,0,136,53,7,141,0,4,6,151,213,83,52,65,173,1,258,57,0,22
6,0,1,60,250,42,7,14,29,2,0,8,3,8,0,10,3,29,59,38,39,0,16,0,109,173,67,24,37,7,6,78,49,0,30
0,0,1,5,13,18,4,1,5,2,0,0,0,4,0,1,0,9,13,6,22,0,3,0,35,23,5,1,16,0,1,1,12,0,4
0,5,3,15,317,64,56,4,13,2,0,1,0,11,0,1,0,68,43,11,70,0,4,6,147,215,82,47,38,38,2,285,45,0,17
2,4,3,52,484,62,50,7,15,2,0,3,2,8,0,4,0,64,39,24,72,0,21,4,164,217,97,69,33,35,3,348,44,0,20
2,7,7,53,8069,1113,578,13,38,2,0,4,1,23,0,3,1,140,276,2103,126,0,29,9,711,187,632,559,530354,821,366,1828,52,0,2091
6,6,6,73,1266,233,176,19,126,2,0,11,5,15,0,6,1,138,69,119,145,0,27,8,301,388,140,58,147,61,13,347,65,0,56
3,0,1,25,208,44,3,4,15,2,0,3,1,7,0,5,2,20,31,21,27,0,11,0,61,153,22,9,61,2,3,17,21,0,16
6,3,3,11,570,65,44,4,10,2,1,2,2,12,0,2,2,60,57,174,69,0,7,3,117,214,40,18,53,38,3,166,27,0,23
6,5,8,53,2455,360,342,8,31,2,0,6,5,11,0,4,1,250,99,145,268,0,13,9,332,399,152,81,182,473,24,269,60,4,53
1,4,5,35,421,131,43,6,49,6,0,0,1,10,0,1,0,55,88,34,65,0,28,5,304,492,109,44,169,20,1,128,59,1,122
2,0,1,34,173,45,3,6,15,2,0,4,1,8,0,3,1,20,26,20,27,0,8,0,72,140,33,14,57,2,3,31,26,0,12
3888,1,1,69,39991,106,114,14,131,2,3,5,3881,3890,0,3885,0,97,58,21656,106,0,19,1,201,315,83,29,133,13,3,81,55,0,196
6,3,3,11,468,65,42,7,10,2,1,2,2,13,0,2,2,58,55,174,67,0,7,3,114,205,49,18,52,34,3,113,27,0,23
0,2,2,5,1284,47,44,0,9,2,0,0,0,8,0,1,0,54,47,6,64,0,3,2,100,321,38,28,31,35,1,186,23,0,109
10,7,6,63,892,103,125,17,54,2,0,11,8,10,0,8,1,101,52,51,121,0,25,9,184,346,116,54,112,126,14,201,74,0,40
4,5,4,65,404,73,38,18,43,2,0,10,3,9,0,4,1,52,53,52,62,0,21,5,188,239,112,43,60,28,14,163,65,0,47
0,7,90,84,57166,532,6643,5,1229,2,0,1,0,20,0,3,0,897,114,18531,869,0,17,7,426,320,255,96,4010,453,1,259,130,1,2393
20,11,32,291,23561,1256,4047,29,392,2,0,26,14,18,0,21,3,1442,152,1089,1425,0,147,13,509,1203,326,1741,3557,1034,388,802,238,1,209
3,7,6,27,5467,533,982,3,89,2,0,3,1,10,0,4,2,521,49,323,484,0,16,7,212,299,62,24,1232,48,1,126,41,0,43
1,2,2,7,72,43,25,2,6,2,0,0,1,7,0,1,0,28,27,5,42,0,3,2,94,90,33,13,28,8,1,91,20,0,3
7,7,6,52,858,102,128,14,57,2,0,11,5,10,0,8,1,101,50,49,121,0,20,9,178,340,107,54,134,129,15,198,69,0,40
4,5,6,35,266,188,45,7,22,2,0,5,3,9,0,3,1,52,57,29,70,0,13,7,176,228,60,12,73,14,7,87,52,2,34
6,3,3,11,463,65,65,4,10,2,1,2,2,12,0,2,2,70,56,174,79,0,7,3,114,176,40,18,65,79,3,65,27,0,20
3,3,3,36,15304,70,4205,12,17,2,0,1,2,12,0,2,1,2532,64,18,2533,0,9,3,184,266,116,62,721,3655,4,239,48,0,58
